nrpolizza;DENOM_PRODOTTO;Cod. Agenzia;Riscatto;dtdatarif liquidato;Classificazione;Tipo_premio;Antidurata;Anno dec;IBRIDO/altro;Famiglia Prodotto;Antidurata arrotondata;Periodo di osservazione
024154518;AllORO 2016;22399;19.020,63;1/3/2024;Riscatto reworkato;PU;6,341666667;2.017;di cui altro;AllORO;7;2.024
022826377;D'ORO 2012;04900;14.624,47;1/1/2024;Uscita definitiva;PR;10,49166667;2.013;di cui altro;D'ORO;ott-15;2.024
023290438;D'ORO 2014;22499;9.503,30;1/5/2024;Uscita definitiva;PR;9,238888889;2.015;di cui altro;D'ORO;9;2.024
024898054;Reinvesto EverGreen;37299;20.192,50;1/4/2024;Uscita definitiva;PU;3,658333333;2.020;di cui Ibridi;Reinvesto EverGreen;4;2.024
024840967;Valore Futuro Piu;01502;187.347,31;1/6/2024;Uscita definitiva;PU;4,027777778;2.020;di cui Ibridi;Valore Futuro Piu;4;2.024
025418145;Valore EverGreen;00400;7.601,85;1/10/2024;Uscita definitiva;PU;2,197222222;2.022;di cui Ibridi;Valore EverGreen;2;2.024
024184567;Extra di Alleanza;01802;5.887,28;1/3/2024;Uscita definitiva;PR;6,255555556;2.017;di cui Ibridi;Extra;7;2.024
023503950;D'ORO 2014;22399;13.323,91;1/7/2024;Uscita definitiva;PR;8,744444444;2.015;di cui altro;D'ORO;9;2.024
025405940;Smart EverGreen 2022;22399;3.159,51;1/6/2024;Uscita definitiva;PR;1,922222222;2.022;di cui Ibridi;Smart EverGreen;2;2.024
024623792;Valore Euro San Giorgio;10099;32.397,35;1/8/2024;Riscatto reworkato;PU;5,097222222;2.019;di cui altro;Valore Euro San Giorgio;5;2.024
024818132;Reinvesto Valore;10099;10.216,49;1/3/2024;Riscatto reworkato;PU;3,936111111;2.020;di cui Ibridi;Valore Alleanza;4;2.024
024857567;Smart Capital;10099;26.568,47;1/3/2024;Riscatto reworkato;PR;3,705555556;2.020;di cui Ibridi;Smart Capital;4;2.024
025311867;Smart EverGreen;01502;7.943,98;1/3/2024;Uscita definitiva;PR;2,052777778;2.022;di cui Ibridi;Smart EverGreen;2;2.024
024564566;Extra di Alleanza;01202;5.486,65;1/4/2024;Uscita definitiva;PR;5,002777778;2.019;di cui Ibridi;Extra;5;2.024
025189347;Valore Futuro Piu;08499;2.002,54;1/2/2024;Uscita definitiva;PU;2,419444444;2.021;di cui Ibridi;Valore Futuro Piu;3;2.024
024480449;Extra di Alleanza;31699;3.457,45;1/10/2024;Uscita definitiva;PR;5,816666667;2.018;di cui Ibridi;Extra;6;2.024
024363044;Valore Futuro 2015;10099;178.856,41;1/3/2024;Uscita definitiva;PU;5,669444444;2.018;di cui Ibridi;Valore Futuro;6;2.024
022922067;D'ORO 2012;00900;16.390,85;1/12/2024;Uscita definitiva;PR;11,06944444;2.013;di cui altro;D'ORO;ott-15;2.024
024737159;Smart Capital;01903;8.654,37;1/7/2024;Uscita definitiva;PR;4,583333333;2.019;di cui Ibridi;Smart Capital;5;2.024
025196201;Extra POP;02104;1.194,19;1/11/2024;Uscita definitiva;PR;3,155555556;2.021;di cui Ibridi;Extra;3;2.024
023792685;Valore Futuro 2015;37509;11.630,17;1/5/2024;Riscatto reworkato;PU;7,752777778;2.016;di cui Ibridi;Valore Futuro;8;2.024
024895516;Smart EverGreen;02100;5.333,60;1/3/2024;Uscita definitiva;PR;3,586111111;2.020;di cui Ibridi;Smart EverGreen;4;2.024
025297853;Reinvesto EverGreen;24399;2.898,35;1/8/2024;Uscita definitiva;PU;2,511111111;2.022;di cui Ibridi;Reinvesto EverGreen;2;2.024
023478503;Valore Futuro;37509;37.899,26;1/5/2024;Riscatto reworkato;PU;8,658333333;2.015;di cui Ibridi;Valore Futuro;9;2.024
020838763;D'ORO TT 0%;21699;29.127,80;1/4/2024;Uscita definitiva;PR;18,36388889;2.005;di cui altro;D'ORO;15-20+;2.024
